DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
07/22/2015,5.164857137,5.401528587,5.426741754,5.470526446,5.467722655,5.518002108,5.426647078,5.422989049,5.539147602,5.502746164,5.557689423,5.457378531,5.316243387,5.374327928,5.296014176,5.253288228,5.192621927
07/23/2015,4.599413208,4.807945234,4.808487578,4.887596834,4.876335731,5.030696974,4.96485506,4.960179228,5.065030814,4.993388232,5.133777834,5.04744464,4.933331077,4.962311966,4.88168173,4.808713228,4.859160598
07/24/2015,5.699686788,5.793321458,5.793539342,5.843246872,5.839672508,5.764223816,5.621265319,5.618319321,5.906065095,5.842608958,5.725083284,5.617320136,5.456758583,5.535534717,5.472378973,5.533975477,5.318468233
07/25/2015,5.892370718,6.072673999,6.040676404,6.064893545,6.023987684,5.824385199,5.647004976,5.644083871,6.027108101,5.973940923,5.645022224,5.570726589,5.393669348,5.482891818,5.459015464,5.47679657,5.234868658
07/26/2015,4.34729467,4.664878512,4.709502709,4.784794928,4.781814975,5.026547329,4.908787847,4.904388209,4.861887188,4.86232003,5.090320338,5.161668794,5.047331237,5.034913373,4.938779266,4.758456129,4.93444719
07/27/2015,4.676650321,4.977429383,5.076525248,5.160488878,5.166238116,5.447429904,5.33523555,5.33203945,5.23774843,5.26603018,5.546689368,5.543065965,5.381345199,5.433337548,5.343631493,5.12762223,5.358168527
07/28/2015,5.785192167,5.861807252,5.907382969,6.000920183,5.928468459,6.038512079,5.923395338,5.921531761,5.966479317,6.013518948,6.121208046,6.128859806,5.978529559,6.065683333,6.041459527,5.826491945,6.168257238
07/29/2015,6.193089165,6.358024212,6.438640223,6.465265383,6.545693951,6.523799175,6.3141522,6.313235888,6.548038568,6.515052309,6.408337461,6.097258687,5.873267424,6.097675587,5.981223724,6.205127405,5.982749814
07/30/2015,9.50691048,9.724842476,9.682035711,9.639400558,9.663991541,9.112227153,8.851658734,8.857517137,9.770767944,9.49281561,8.666249163,7.909843224,7.38061949,8.069877968,7.986271183,8.570156127,7.342987276
07/31/2015,12.37809998,12.53271597,12.44899868,12.33678319,12.36837551,11.2064628,10.84078909,10.85166224,12.51259616,12.01902337,10.22636078,9.215707525,8.50201813,9.576128576,9.554531506,10.23130188,8.321764268
